RSRP_S,RSRP_t,Tr,S,T
-72.685,-82.856,85,49,3
-82.224,-84.008,99,3,2
-76.126,-82.266,261,2,42
-72.612,-73.767,84,42,7
-62.427,-73.321,167,7,43
-71.954,-74.899,29,43,7
-76.677,-81.227,108,7,37
-65.942,-74.339,83,37,6
-76.175,-83.503,161,6,5
-80.889,-81.059,18,5,1
-73.05,-72.508,16,1,3
-79.188,-82.647,82,3,32
-79.919,-79.987,20,32,4
-79.486,-84.118,75,4,12
-69.57,-86.052,329,12,13
-82.249,-82.568,150,13,33
-78.601,-81.905,100,33,5
-70.704,-85.329,378,5,15
-81.09,-80.331,110,15,36
-72.11,-84.177,99,36,6
-83.278,-83.839,36,6,16
-81.778,-83.666,89,16,17
-77.527,-83.891,306,17,6
-74.012,-83.331,144,6,5
-71.222,-82.135,140,5,33
-79.099,-78.832,21,33,13
-68.019,-84.873,356,13,5
-76.955,-78.426,224,5,4
-72.877,-73.604,27,4,32
-71.168,-71.168,11,32,41
-79.889,-80.302,6,41,11
-81.002,-81.332,14,11,10
-82.083,-82.762,23,10,34
-72.341,-77.776,53,34,3
-76.043,-83.628,112,3,1
-70.452,-82.977,142,1,6
-73.669,-84.503,144,6,16
-77.881,-75.514,64,16,40
-59.02,-75.949,1521,40,16
-80.967,-84.274,49,16,17
-82.657,-83.515,42,17,6
-80.511,-81.573,43,6,16
-74.165,-83.878,55,16,17
-81.99,-81.885,26,17,45
-73.951,-75.851,25,45,7
-65.476,-69.993,49,7,42
-82.177,-82.88,28,15,22
-80.649,-81.692,45,22,5
-69.598,-80.55,244,5,20
-78.905,-78.957,4,20,28
-72.738,-73.357,23,28,1
-73.88,-82.794,74,1,7
-78.079,-76.359,26,7,42
-71.32,-75.946,26,42,7
-80.931,-82.601,24,7,19
-74.689,-71.018,41,19,35
-67.508,-85.282,1,35,18
-80.247,-86.819,2,18,17
-81.864,-83.125,92,17,43
-65.222,-74.591,215,43,7
-63.871,-73.537,333,7,42
-72.74,-83.115,198,42,2
-76.633,-84.842,582,2,3
-80.999,-80.691,163,3,49
-69.991,-84.706,276,49,10
-74.472,-73.26,261,10,34
-72.495,-73.011,10,34,11
-80.972,-82.665,3,11,41
-77.872,-78.1,9,41,4
-72.214,-82.993,117,4,1
-71.186,-82.844,124,1,7
-68.94,-83.574,230,7,18
-73.698,-84.791,1452,18,7
-77.699,-76.674,208,7,42
-69.417,-82.773,151,42,2
-79.021,-79.648,169,2,27
-66.863,-81.667,159,27,3
-71.629,-83.764,393,3,11
-72.586,-75.792,288,11,46
-50.282,-73.381,898,46,11
-71.929,-83.2,127,11,32
-79.28,-78.897,28,32,3
-76.806,-83.481,112,3,1
-79.362,-83.828,121,1,7
-67.035,-72.283,119,7,43
-66.537,-70.929,76,43,7
-65.158,-75.838,74,7,42
-80.004,-83.201,25,42,2
-79.73,-78.546,49,2,27
-72.609,-80.139,42,27,3
-74.595,-82.886,110,3,10
-75.328,-74.337,66,10,26
-65.734,-64.262,18,26,10
-82.329,-80.493,5,10,11
-74.97,-74.493,12,11,41
-68.117,-69.246,9,41,4
-73.025,-76.351,26,4,33
-79.669,-80.83,8,33,4
-74.713,-79.812,39,4,3
-66.89,-70.056,33,3,49
-65.282,-63.686,14,49,9
-74.546,-82.89,181,9,2
-70.187,-82.815,140,2,42
-80.636,-80.72,20,42,7
-73.906,-71.786,50,7,31
-70.576,-81.658,46,31,7
-82.147,-81.952,9,7,45
-78.621,-82.543,48,45,17
-81.444,-83.419,74,17,16
-77.514,-83.058,332,16,6
-77.129,-82.952,111,6,5
-74.291,-84.187,132,5,4
-81.521,-83.892,81,4,23
-75.534,-74.008,34,23,12
-59.074,-72.362,130,12,23
-66.721,-81.55,94,23,4
-74.827,-84.155,262,4,28
-68.139,-78.82,177,28,1
-81.254,-85.66,152,1,3
-74.862,-77.137,255,3,34
-72.683,-81.127,106,34,10
-68.982,-76.903,257,10,11
-73.465,-78.527,23,11,12
-82.502,-86.024,2,12,23
-74.429,-75.858,9,23,13
-83.466,-84.757,29,13,4
-71.988,-83.135,118,4,3
-77.427,-83.039,96,3,2
-79.264,-80.59,63,2,44
-73.819,-76.317,34,44,8
-75.524,-84.316,279,8,19
-70.327,-77.173,346,19,35
-79.178,-81.34,19,35,18
-82.9,-82.92,15,18,43
-79.004,-80.05,20,43,17
-68.436,-77.028,139,17,45
-66.208,-81.49,105,45,7
-78.558,-77.702,34,7,31
-64.427,-79.248,95,31,7
-81.254,-84.237,85,7,1
-80.941,-81.947,117,1,27
-69.163,-81.566,117,27,3
-77.853,-82.096,148,3,27
-73.409,-79.755,125,27,2
