RSRP_S,RSRP_t,Tr,S,T
-81.296,-81.116,46,7,31
-76.5,-78.629,100,31,37
-77.482,-83.144,132,37,6
-81.963,-83.871,152,6,17
-81.945,-83.891,634,17,16
-81.259,-83.807,211,16,6
-79.272,-83.536,319,6,5
-80.832,-80.825,14,5,20
-78.821,-78.934,9,20,28
-70.701,-69.09,14,28,1
-69.223,-83.466,236,1,7
-69.925,-83.715,289,7,18
-78.325,-83.63,200,18,7
-71.8,-72.28,251,7,31
-69.571,-83.319,137,31,37
-82.643,-84.27,56,37,6
-82.862,-85.867,213,6,5
-81.547,-80.402,40,5,20
-72.95,-73.512,77,20,5
-78.354,-84.555,65,5,6
-82.43,-82.648,33,6,36
-70.87,-81.439,52,36,16
-74.927,-79.468,86,16,6
-72.088,-68.63,24,6,37
-70.082,-71.5,14,37,31
-82.746,-82.624,7,31,7
-83.361,-84.126,17,7,2
-74.099,-79.927,41,2,9
-73.815,-78.12,40,9,2
-75.192,-78.652,26,2,1
-81.462,-82.137,19,1,6
-69.729,-75.303,28,6,36
-81.217,-83.04,4,36,16
-77.594,-82.607,587,16,15
-77.173,-78.338,58,15,22
-70.541,-74.381,29,22,5
-78.239,-83.497,130,5,6
-73.463,-73.305,148,6,37
-73.494,-80.774,26,37,1
-75.67,-80.624,58,1,27
-81.415,-81.044,6,27,3
-70.824,-71.659,60,3,1
-77.756,-79.357,8,1,28
-64.841,-73.254,6,28,20
-70.855,-78.557,5,20,5
-78.047,-77.973,9,5,22
-76.245,-84.49,571,22,15
-83.005,-84.194,145,15,6
-76.419,-84.047,746,6,17
-71.725,-77.407,484,17,45
-68.439,-83.842,266,45,7
-80.796,-80.423,69,7,31
-76.934,-85.795,265,31,1
-75.54,-69.329,313,1,27
-72.378,-87.117,3,27,2
-79.099,-82.092,5,2,9
-76.876,-82.812,45,9,44
-73.094,-83.077,49,44,8
-84.685,-85.062,16,8,19
-72.373,-83.067,106,19,18
-78.342,-84.107,520,18,7
-69.031,-70.936,518,7,31
-68.592,-86.005,298,31,6
-83.017,-85.818,494,6,5
-72.144,-81.473,1104,5,28
-66.512,-72.69,88,28,1
-67.651,-83.733,230,1,2
-73.469,-80.332,238,2,42
-75.861,-89.529,3,42,7
-74.935,-85.8,510,7,1
-82.72,-83.187,188,1,27
-67.594,-82.312,270,27,3
-75.134,-83.826,559,3,10
-74.961,-69.613,190,10,34
-73.638,-82.38,5,34,41
-81.405,-94.785,1,41,32
-75.01,-86.266,4,32,4
-69.78,-70.624,10,4,33
-65.781,-82.974,4,33,13
-79.522,-79.508,416,13,33
-69.793,-72.9,8,33,4
-70.362,-67.351,19,4,32
-74.603,-79.824,6,32,3
-76.705,-78.111,16,3,10
-81.75,-83.301,34,10,9
-76.596,-83.385,165,9,2
-74.533,-82.269,114,2,1
-79.884,-81.52,35,1,6
-79.799,-82.748,35,6,15
-70.179,-78.696,109,15,36
-78.524,-81.641,30,36,16
-82.228,-84.54,52,16,17
-70.743,-84.123,112,17,18
-75.925,-82.611,220,18,43
-76.207,-75.644,47,43,7
-67.909,-83.464,178,7,1
-71.943,-78.853,173,1,28
-81.173,-84.317,29,28,4
-82.682,-77.258,699,4,32
-68.641,-73.875,21,32,41
-82.108,-81.739,7,41,11
-81.176,-82.664,740,11,32
-67.308,-77.862,43,32,4
-77.946,-83.856,83,4,5
-71.891,-77.013,88,5,22
-68.237,-73.371,32,22,15
-69.982,-77.575,195,15,36
-77.201,-80.823,42,36,6
-73.09,-85.569,185,6,7
-80.996,-82.078,108,7,42
-80.357,-81.3,27,42,2
-76.532,-83.084,145,2,44
-80.949,-81.067,17,44,8
-80.439,-84.394,123,8,19
-71.264,-85.69,411,19,2
-77.882,-78.829,102,2,27
-71.087,-81.442,56,27,3
-77.272,-78.689,87,3,32
-48.523,-75.94,477,32,3
-81.521,-83.864,996,3,2
-72.969,-79.431,86,2,42
-69.838,-71.942,30,42,7
-75.846,-83.026,69,7,18
-80.732,-84.457,87,18,43
-75.351,-76.307,39,43,7
-74.414,-73.809,30,7,31
-69.42,-83.227,42,31,1
-73.775,-82.608,112,1,4
-68.612,-81.154,103,4,23
-77.637,-77.443,22,23,12
-70.81,-77.996,86,12,23
-79.065,-81.286,26,23,4
-69.004,-83.075,141,4,1
-74.202,-84.389,145,1,31
-69.604,-73.889,54,31,7
-75.375,-81.405,1135,7,45
-79.781,-81.876,107,45,17
-71.68,-73.875,413,17,21
-68.809,-78.627,199,21,17
-76.448,-83.993,289,17,16
-78.955,-81.986,255,16,36
-78.433,-80.302,84,36,15
-70.456,-85.849,398,15,14
-78.977,-82.992,522,14,47
-80.917,-82.843,87,47,22
-80.129,-84.495,118,13,4
-70.624,-83.974,228,4,3
-77.692,-83.843,188,3,2
-81.99,-83.893,148,2,3
-77.396,-84.089,557,3,4
-71.441,-85.566,700,4,13
-77.68,-83.544,536,13,14
-77.544,-82.622,142,14,47
-79.676,-81.221,36,47,14
-83.319,-83.428,13,14,5
-77.964,-79.32,40,5,33
-80.182,-81.278,16,33,4
-77.082,-82.976,59,4,11
-66.9,-83.472,507,11,12
-83.305,-83.502,7,12,23
-80.096,-80.176,13,23,4
-82.703,-82.703,11,4,13
-76.043,-79.042,58,13,33
-76.036,-80.26,35,33,5
-81.438,-83.597,49,5,4
-82.236,-85.337,70,4,3
-73.596,-83.6,105,3,4
-81.269,-81.935,31,4,5
-78.267,-82.045,39,5,14
-73.994,-82.873,806,14,5
-76.996,-84.761,90,5,4
-83.355,-83.556,23,4,1
-81.388,-82.973,42,1,3
-78.851,-83.791,75,3,9
-80.554,-83.485,644,9,2
-73.427,-79.381,61,2,42
-73.213,-71.507,18,42,7
-63.606,-74.254,42,7,43
-78.681,-79.268,13,43,17
-73.124,-84.214,315,17,16
-72.48,-80.433,223,16,36
-67.527,-77.882,41,36,15
-80.053,-80.677,28,15,22
-73.054,-75.105,31,22,5
-75.831,-82.377,74,5,33
-78.02,-77.346,18,33,13
-70.303,-76.856,80,13,33
-78.476,-84.1,64,33,4
-81.072,-83.925,154,4,1
-72.978,-83.499,438,1,4
-76.225,-84.95,168,4,3
-79.738,-83.865,91,3,2
-82.226,-83.622,46,2,9
-81.828,-82.631,34,9,25
-79.244,-81.133,24,25,9
-71.566,-78.714,91,9,49
-80.48,-82.659,23,49,10
-79.695,-83.026,80,10,11
-78.951,-78.465,41,11,46
-72.892,-76.171,27,46,11
-74.743,-83.052,122,11,3
-77.296,-84.914,316,3,4
-70.45,-84.788,372,4,13
-77.014,-83.221,113,13,14
-75.526,-80.943,79,14,47
-78.097,-78.699,21,47,22
-71.417,-77.53,31,22,5
-81.405,-83.032,30,5,6
-81.35,-83.675,47,6,1
-82.604,-83.249,25,1,7
-78.463,-77.416,27,7,42
-70.812,-82.793,35,42,2
-84.271,-84.271,11,2,19
-83.456,-84.698,23,19,2
-82.489,-82.387,16,2,42
-77.684,-83.365,48,42,7
-83.479,-83.942,21,7,1
-77.383,-84.962,300,1,31
-66.618,-72.014,149,31,7
-70.073,-73.79,143,7,43
-70.952,-78.745,162,43,7
-70.184,-64.029,124,7,45
-72.86,-77.646,7,45,17
-82.389,-83.106,22,17,6
-79.875,-79.643,21,6,37
-74.855,-75.096,17,37,31
-78.092,-80.044,19,31,7
-82.624,-83.01,15,7,1
-81.515,-82.545,30,1,27
-75.04,-78.889,29,27,2
-83.061,-83.442,14,2,3
-82.189,-82.329,15,3,49
-77.173,-77.496,10,49,9
-82.104,-84.243,1338,9,10
-75.597,-83.039,564,10,11
-74.772,-82.733,47,11,12
-81.572,-82.481,7,12,23
-66.261,-65.487,17,23,12
-83.328,-85.655,228,12,13
-83.385,-84.212,167,13,4
-78.548,-84.282,697,4,28
-65.486,-75.628,310,28,1
-72.135,-74.977,107,1,28
-74.209,-80.959,40,28,5
-79.131,-80.872,69,5,33
-58.905,-82.145,217,33,5
-81.068,-83.028,89,5,28
-66.842,-70.714,59,28,1
-69.056,-85.501,159,1,2
-82.249,-84.365,112,2,19
-71.937,-83.1,350,19,7
-65.005,-69.137,115,7,31
-66.319,-66.579,16,31,37
-82.397,-84.666,4,37,6
-81.641,-82.084,15,6,16
-70.44,-78.891,32,16,6
-78.941,-77.973,17,6,37
-75.392,-77.834,6,37,31
-70.653,-72.182,9,31,7
-81.25,-83.578,32,7,1
-72.833,-83.189,144,1,4
-69.952,-80.756,134,4,23
-72.054,-72.423,39,23,12
-66.921,-71.136,505,12,23
-68.735,-81.632,45,23,4
-77.242,-70.302,109,4,32
-76.173,-79.469,6,32,41
-79.508,-82.052,39,41,32
-75.703,-79.475,57,32,3
-81.331,-84.478,70,3,1
-76.829,-83.703,136,1,4
-69.251,-84.843,586,4,5
-79.907,-77.969,110,5,20
-68.574,-72.568,76,20,28
-75.306,-75.06,14,28,1
-68.286,-82.16,70,1,2
-73.389,-82.991,84,2,8
-74.054,-81.652,176,8,44
-79.735,-80.026,20,44,2
-65.794,-77.348,110,2,27
-75.833,-79.83,39,27,1
-76.802,-85.377,132,1,4
-83.173,-83.35,26,4,5
-79.436,-78.484,21,5,20
-67.2,-79.798,37,20,5
-82.747,-83.193,15,5,6
-80.796,-80.756,13,6,1
-70.896,-84.217,232,1,4
-76.51,-85.622,292,4,12
-76.006,-81.644,186,12,13
-72.8,-76.54,579,13,33
-70.181,-82.228,293,33,5
-74.015,-84.464,804,5,6
-72.848,-82.86,821,6,45
-78.805,-79.659,152,45,17
-72.934,-77.193,197,17,45
-73.518,-82.619,93,45,37
-70.433,-82.785,122,37,6
-83.646,-86.419,389,6,20
-71.406,-73.534,287,20,5
-68.768,-80.076,305,5,33
-77.026,-80.507,37,33,13
-80.924,-83.446,57,13,12
-74.887,-84.567,138,12,13
-82.775,-85.391,98,13,23
-70.453,-68.062,35,23,12
-69.604,-83.096,128,12,13
-77.45,-85.426,94,13,14
-80.649,-82.293,66,14,47
-81.442,-81.348,10,47,15
-81.902,-79.584,437,15,22
-73.44,-98.882,1,22,5
-79.74,-92.603,2,5,1
-74.704,-90.112,4,1,3
-79.573,-95.335,2,3,9
-79.254,-84.752,338,9,2
-80.124,-78.57,23,2,27
-77.374,-79.389,17,27,2
-84.126,-84.67,39,2,7
-80.926,-81.317,8,7,42
-70.877,-70.987,27,42,7
-76.542,-83.555,67,7,18
-78.591,-77.368,18,18,35
-77.174,-81.441,1,35,19
-70.138,-84.668,675,19,2
-81.731,-83.599,64,2,1
-73.916,-82.71,97,1,4
-77.114,-82.71,85,4,13
-73.13,-83.939,185,13,5
-78.852,-80.384,93,5,22
-71.584,-75.214,47,22,15
-81.521,-81.297,811,15,36
-72.47,-77.383,25,36,6
-81.046,-83.703,43,6,5
-82.644,-82.609,9,5,20
-80.129,-80.116,10,20,28
-68.156,-70.773,23,28,1
-81.721,-84.718,29,1,3
-76.89,-76.495,46,3,34
-66.238,-75.069,24,34,10
-74.732,-80.55,80,10,34
-77.617,-79.4,21,34,3
-81.267,-81.556,7,3,32
-69.928,-73.656,21,32,4
-78.612,-82.617,51,4,5
-80.636,-84.539,46,5,14
-82.146,-83.907,67,14,5
-75.207,-83.266,188,5,6
-71.691,-72.467,130,6,37
-75.176,-82.256,54,37,45
-77.737,-81.085,58,45,7
-72.772,-79.252,240,7,42
-79.362,-82.552,60,42,2
-65.358,-60.036,179,2,48
-48.642,-81.628,608,48,15
-82.852,-83.19,18,15,36
-78.993,-80.975,33,36,6
-73.713,-76.828,77,6,37
-77.757,-79.835,23,37,31
-72.771,-70.709,24,31,7
-69.939,-83.929,86,7,19
-80.353,-83.584,51,19,7
-81.442,-82.879,5,7,42
-71.459,-70.704,13,42,7
-70.558,-71.321,21,7,31
-71.962,-73.052,15,31,37
-71.973,-70.752,15,37,6
-69.733,-80.906,45,6,15
-66.93,-80.257,62,15,6
-66.838,-65.813,33,6,37
-68.292,-68.311,12,37,31
-65.152,-64.229,12,31,7
-63.078,-73.701,84,7,43
-76.814,-82.49,38,43,18
-68.972,-83.792,183,18,43
-79.945,-82.386,57,43,45
-70.505,-81.187,82,45,6
-82.693,-83.37,18,4,3
-78.272,-83.091,117,3,2
-74.785,-76.839,98,2,44
-72.835,-78.476,43,44,8
-74.414,-82.807,308,8,2
-71.58,-82.363,94,2,1
-76.162,-83.38,529,1,6
-76.973,-83.476,1322,6,1
-79.155,-82.828,81,1,2
-73.291,-77.128,941,2,27
-68.128,-80.372,71,27,1
-71.845,-74.128,120,1,28
-69.062,-80.787,67,28,20
-79.083,-79.038,23,20,5
-74.055,-84.779,209,5,4
-76.345,-78.033,825,4,41
-75.007,-75.992,21,41,32
-67.571,-75.641,41,32,3
-75.727,-80.544,78,3,27
-65.663,-75.771,46,27,2
-79.695,-85.759,288,2,1
-79.283,-79.561,140,1,6
-78.725,-80.232,25,6,15
-71.206,-71.994,62,15,22
-67.821,-67.24,12,22,5
-72.165,-72.441,378,5,20
-67.728,-83.324,131,20,1
-79.632,-83.945,271,1,7
-74.933,-82.161,427,7,42
-79.507,-80.748,29,42,2
-75.343,-76.779,77,2,27
-72.635,-80.095,46,27,3
-75.315,-80.846,53,3,1
-69.594,-80.727,53,1,6
-70.631,-81.162,53,6,16
-68.127,-77.748,216,16,17
-79.257,-80.673,8,17,45
-73.475,-77.491,7,45,43
-73.552,-83.179,4,43,7
-76.525,-76.525,11,7,19
-73.898,-74.594,18,19,24
-82.284,-85.765,4,24,8
-81.487,-83.118,870,8,19
-75.428,-81.197,52,19,7
-71.308,-77.006,49,7,45
-75.137,-78.355,21,45,6
-81.564,-82.689,28,6,16
-76.443,-81.921,54,16,6
-71.593,-83.277,74,6,1
-79.318,-81.999,55,1,27
-75.789,-75.911,22,27,2
-80.667,-83.615,33,2,9
-70.027,-77.667,74,9,49
-75.99,-78.728,25,49,3
-78.396,-81.942,56,3,41
-76.576,-80.229,31,41,11
-83.759,-85.369,27,11,4
-84.069,-83.901,8,4,23
-77.533,-77.171,18,23,12
-71.78,-70.387,179,12,23
-71.385,-81.835,39,23,4
-80.36,-83.312,75,4,5
-74.117,-82.986,107,5,6
-75.591,-85.757,405,6,1
-81.093,-79.506,67,1,28
-67.562,-83.479,121,28,1
-82.837,-83.672,36,1,4
-78.484,-79.715,154,4,32
-73.353,-77.836,82,32,41
-62.704,-71.225,81,41,11
-64.746,-68.686,138,11,41
-75.535,-81.05,25,41,4
-77.229,-85.119,1217,4,1
-73.618,-83.919,859,1,7
-67.146,-78.559,718,7,43
-79.683,-79.881,168,43,17
-78.319,-83.932,107,17,6
-79.346,-77.833,55,6,37
-67.958,-82.867,95,37,6
-82.816,-83.827,34,6,1
-73.373,-84.521,250,1,4
-80.108,-79.912,100,4,32
-76.093,-80.274,66,32,41
-72.547,-73.041,60,41,11
-61.499,-73.909,218,11,41
-77.425,-83.999,104,41,3
-68.959,-81.049,398,3,27
-68.346,-80.802,45,27,1
-81.367,-83.1,54,1,7
-79.635,-79.111,18,7,31
-72.402,-81.984,41,31,7
-82.644,-82.066,5,7,45
-74.989,-77.902,36,45,17
-78.528,-85.666,127,17,16
-83.599,-83.874,30,16,6
-80.25,-83.935,118,6,15
-81.087,-80.909,30,15,22
-67.89,-81.967,72,22,5
-79.999,-78.519,300,5,22
-78.318,-85.356,246,22,5
-83.878,-84.917,96,5,6
-68.754,-82.003,781,6,45
-70.26,-79.873,285,45,6
-71.618,-84.605,103,6,22
-57.131,-80.005,501,22,5
-76.342,-82.636,518,5,33
-73.975,-75.939,205,33,13
-72.305,-84.956,662,13,5
-81.771,-84.561,214,5,47
-72.326,-72.487,106,47,15
-61.109,-74.856,176,15,36
-71.952,-73.818,19,36,6
-64.694,-67.429,41,6,37
-62.919,-85.608,2010,37,6
-83.772,-84.465,71,6,1
-73.215,-84.442,778,1,4
-79.066,-83.907,593,4,11
-73.883,-71.294,736,11,41
-67.164,-75.812,43,41,32
-66.945,-79.304,60,32,3
-80.03,-83.411,87,3,1
-79.376,-84.444,132,1,7
-69.863,-73.549,311,7,42
-65.983,-82.009,121,42,2
-76.832,-83.738,297,2,3
-78.321,-83.831,287,3,10
-70.232,-71.571,226,10,34
-78.67,-98.986,1,34,41
-78.219,-103.24,1,41,32
-78.131,-103.35,1,32,4
-70.213,-90.172,3,4,33
-62.459,-106.07,1,33,13
-81.956,-96.789,1,13,14
-74.111,-80.864,59,14,5
-69.639,-78.304,50,5,28
-71.044,-69.398,18,28,1
-76.671,-81.012,34,1,27
-79.177,-79.652,17,27,1
-75.604,-73.964,31,1,28
-70.241,-71.794,17,28,20
-76.119,-76.692,9,20,5
-68.427,-80.957,43,5,14
-76.624,-85.275,146,14,22
-76.34,-77.745,46,22,5
-81.475,-85.223,89,5,15
-79.658,-84.026,774,15,22
-81.569,-82.391,73,22,5
-70.835,-83.946,588,5,4
-75.87,-86.134,632,4,12
-83.129,-85.9,981,12,11
-84.054,-84.161,14,11,4
-76.833,-83.653,130,4,1
-70.337,-83.109,144,1,7
-71.241,-72.838,96,7,43
-67.482,-82.985,54,43,18
-76.271,-75.838,140,13,33
-67.114,-81.134,89,33,5
-72.662,-77.539,176,5,22
-73.231,-80.937,82,22,15
-77.696,-77.829,84,15,36
-75.89,-82.909,80,36,16
-69.481,-83.243,230,16,6
-77.096,-85.55,114,6,20
-81.695,-81.216,21,20,28
-68.024,-80.722,47,28,1
-82.684,-83.111,16,1,4
-79.421,-80.033,52,4,32
-73.812,-81.299,71,32,3
-73.3,-77.111,113,3,49
-72.213,-78.081,49,49,9
-72.016,-83.215,144,9,3
-75.07,-82.866,77,3,4
-78.42,-83.844,116,4,1
-73.716,-84.377,290,1,7
-75.359,-83.544,273,7,35
-75.556,-77.339,86,35,18
-73.369,-81.457,142,18,43
-67.589,-76.393,37,43,7
-79.487,-79.851,16,7,45
-80.119,-81.036,16,45,37
-75.677,-73.839,21,37,6
-71.029,-84.705,79,6,22
-73.386,-83.756,48,22,14
-68.466,-84.125,238,14,47
-81.365,-81.46,30,47,22
-70.896,-86.067,121,22,6
-70.052,-81.366,258,6,45
-69.697,-83.14,108,45,43
-80.636,-84.282,82,43,18
-67.395,-84.083,266,18,17
-78.15,-77.604,86,17,45
-79.769,-83.709,37,45,6
-76.95,-79.067,123,6,36
-74.126,-77.985,47,36,15
-68.061,-76.845,123,15,22
-69.961,-76.705,47,22,5
-68.491,-83.338,138,5,4
-71.774,-79.761,141,4,13
-73.917,-81.482,43,13,4
-73.476,-83.703,65,4,3
-80.552,-81.535,58,3,27
-69.106,-73.911,39,27,2
-77.317,-84.857,471,2,1
-72.33,-80.621,181,1,20
-66.603,-71.297,59,20,5
-71.201,-84.669,160,5,14
-77.88,-80.408,138,14,30
-50.888,-89.819,1,30,13
-72.825,-83.017,4,13,4
-79.73,-92.515,2,4,11
-74.34,-79.842,237,11,34
-81.568,-81.374,5,34,10
-76.589,-84.223,282,10,3
-76.47,-82.287,525,3,27
-72.215,-82.524,258,27,2
-82.599,-85.598,239,2,7
-71.476,-80.25,591,7,43
-78.015,-80.468,136,43,45
-75.089,-81.037,57,45,6
-70.197,-85.115,155,6,22
-69.684,-80.606,68,22,47
-81.877,-83.177,26,47,14
-72.594,-83.864,361,14,5
-71.275,-77.567,180,5,20
-77.164,-78.634,28,20,28
-63.087,-72.249,65,28,1
-64.767,-71.24,96,1,28
-72.464,-74.498,20,28,20
-61.886,-63.423,27,20,5
-70.677,-83.505,77,5,14
-81.92,-82.995,2,14,5
-74.968,-83.36,1,5,4
-82.137,-96.379,1,4,3
-79.663,-79.583,72,3,32
-70.875,-79.306,120,32,41
-72.11,-74.033,88,41,11
-75.659,-82.53,55,11,3
-74.538,-78.35,482,3,32
-66.393,-79.292,68,32,4
-74.847,-83.961,166,4,13
-73.748,-79.354,559,13,33
-79.026,-83.071,41,33,5
-76.779,-74.606,67,5,20
-69.72,-85.573,62,20,1
-84.588,-84.653,18,1,6
-77.61,-75.466,58,6,37
-67.837,-81.396,52,37,45
-70.102,-78.279,58,45,17
-78.788,-80.558,29,17,43
-72.954,-71.937,24,43,7
-63.779,-70.493,47,7,42
-67.664,-77.268,29,42,2
-69.203,-75.175,91,2,27
-74.872,-77.307,7,27,1
-71.261,-76.808,22,1,5
-80.559,-80.353,12,5,22
-70.907,-76.032,7,22,15
-75.722,-76.925,7,15,22
-66.057,-65.221,13,22,5
-72.933,-82.909,41,5,4
-80.487,-81.83,32,4,3
-77.25,-76.475,22,3,34
-68.185,-67.543,12,34,3
-78.354,-78.881,6,3,32
-71.49,-72.096,10,32,4
-74.576,-78.325,26,4,5
-76.171,-81.837,65,5,4
-73.386,-77.716,54,4,32
-70.893,-75.062,25,32,3
-79.021,-79.035,12,3,34
-67.025,-74.024,24,34,10
-79.922,-80.496,5,10,34
-73.092,-77.185,27,34,11
-79.681,-79.993,8,11,41
-72.509,-80.122,29,41,11
-83.23,-82.562,6,11,4
-83.208,-86.438,125,4,12
-83.707,-83.739,672,12,13
-66.079,-68.127,47,13,30
-78.474,-83.99,82,30,14
-83.34,-85.307,108,14,5
-67.031,-74.632,289,5,20
-77.909,-85.108,101,20,1
-81.127,-84.132,250,1,7
-74.056,-83.86,348,7,19
-77.062,-81.082,284,19,35
-71.939,-75.857,31,35,18
-80.218,-81.795,29,18,43
-69.682,-69.64,40,43,7
-68.847,-83.586,96,7,1
-78.538,-83.029,94,1,3
-77.465,-77.394,59,3,32
-73.517,-75.729,27,32,3
-71.449,-82.612,103,3,2
-74.529,-84.235,593,2,3
-71.127,-79.227,367,3,34
-78.786,-82.197,83,34,11
-75.718,-81.431,112,11,4
-81.754,-83.485,30,4,13
-63.889,-72.319,67,13,33
-66.077,-78.616,35,33,5
-77.384,-77.6,49,5,20
-75.83,-79.442,29,20,1
-78.184,-83.143,77,1,7
-74.171,-76.446,57,7,42
-77.571,-79.805,22,42,2
-68.967,-82.72,97,2,9
-73.66,-79.412,127,9,2
-80.692,-80.692,11,2,27
-50.803,-82.11,2118,27,3
-80.795,-83.354,86,3,4
-78.848,-84.15,114,4,12
-68.395,-84.112,226,12,13
-76.775,-75.275,106,13,33
-73.286,-83.171,74,33,5
-80.243,-84.146,154,5,47
-72.243,-71.375,64,47,15
-74.372,-84.101,58,15,6
-79.749,-82.758,59,6,1
-81.734,-85.116,51,1,2
-75.572,-84.296,112,2,19
-83.173,-83.914,39,19,7
-82.102,-82.785,28,7,42
-81.19,-81.452,15,42,2
-72.841,-76.804,88,2,27
-71.524,-82.3,73,27,3
-80.869,-83.765,114,3,4
-74.459,-80.876,168,4,23
-63.458,-72.208,63,23,12
-73.112,-76.922,54,12,23
-79.087,-84.025,53,23,4
-79.319,-83.706,171,4,5
-79.717,-78.872,48,5,20
-73.115,-86.007,93,20,6
-77.216,-83.76,288,6,1
-71.569,-84.438,535,1,3
-74.294,-78.159,390,3,34
-72.689,-74.348,1101,34,41
-78.436,-89.267,3,41,32
-78.025,-90.799,1,32,4
-72.54,-74.692,9,4,33
-71.024,-89.808,3,33,13
-80.38,-81.481,25,13,33
-79.974,-80.031,13,33,5
-80.157,-83.254,40,5,28
-77.99,-77.152,19,28,1
-74.061,-78.251,43,1,27
-73.429,-73.633,20,27,2
-67.043,-74.986,46,2,44
-73.83,-74.874,18,44,8
-66.345,-71.272,44,8,39
-73.879,-73.899,10,39,8
-72.523,-71.723,28,8,24
-68.537,-82.499,40,24,19
-80.202,-83.781,86,19,7
-74.757,-72.576,1503,7,43
-66.221,-79.627,35,43,17
-72.706,-82.641,121,17,43
-79.888,-79.778,18,43,7
-72.108,-84.695,139,7,2
-79.367,-83.522,122,2,3
-79.029,-80.189,66,3,1
-70.916,-80.207,33,1,6
-81.613,-83.743,120,6,5
-80.442,-80.234,43,5,20
-74.235,-77.113,53,20,28
-71.313,-82.437,78,28,1
-82.745,-84.013,43,1,4
-81.929,-83.444,81,4,32
-76.362,-81.321,76,32,3
-79.301,-78.587,63,3,34
-76.653,-84.753,113,34,10
-81.415,-83.808,113,10,49
-76.39,-78.631,88,49,3
-77.875,-82.372,151,3,27
-72.459,-83.135,123,27,2
-83.831,-86.308,96,2,7
-75.825,-79.725,246,7,45
-70.81,-75.397,1027,45,7
-65.409,-69.079,50,7,42
-73.035,-82.78,45,42,7
-83.54,-83.587,12,7,1
-79.144,-83.929,53,1,5
-77.787,-83.334,137,5,6
-71.9,-84.256,218,6,17
-81.763,-83.885,56,17,6
-70.28,-84.55,217,6,5
-81.25,-80.724,21,5,20
-65.433,-78.645,74,20,5
-80.669,-83.432,65,5,4
-78.237,-82.355,149,4,23
-70.393,-81.303,109,23,4
-72.845,-83.343,202,4,28
-72.35,-72.759,64,28,1
-74.514,-84.552,159,1,31
-66.055,-71.374,76,31,7
-72.054,-74.747,65,7,43
-80.731,0,2,14,30
-66.404,0,1,30,13
-72.912,-20.016,4,13,4
-79.046,-72.058,3,4,11
-74.729,-87.808,4,11,10
-78.445,-96.495,1,10,26
-73.514,-76.087,9,26,10
-76.282,-80.127,55,10,34
-69.057,-75.085,45,34,3
-72.534,-82.946,108,3,1
-80.469,-86.05,1124,1,31
-68.647,-74.104,309,31,7
-70.524,-73.994,290,7,43
-74.813,-84.187,256,43,18
-66.261,-83.52,578,18,43
-79.844,-82.486,57,43,45
-69.41,-81.225,81,45,6
-70.855,-84.892,190,6,15
-82.008,-81.806,16,15,22
-69.326,-78.542,57,22,5
-81.255,-84.903,65,5,13
-72.004,-82.734,232,13,5
-71.054,-82.914,124,5,6
-72.125,-83.134,124,6,17
-78.761,-79.6,33,17,43
-72.276,-73.157,18,43,7
-82.801,-82.483,9,7,35
-72.408,-70.739,15,35,19
-75.07,-82.796,85,19,7
-74.676,-82.312,63,7,37
-80.486,-80.97,8,37,6
-71.195,-76.339,45,6,36
-69.711,-69.555,20,36,15
-79.946,-82.446,24,15,6
-81.698,-84.58,42,6,1
-75.055,-81.474,61,1,3
-71.376,-82.787,63,3,10
-75.459,-82.347,717,10,11
-75.632,-84.092,89,11,4
-82.133,-81.958,20,4,23
-78.715,-81.356,32,23,4
-79.726,-84.585,148,4,5
-73.787,-81.25,200,5,22
-78.391,-78.867,34,22,47
-70.154,-71.214,52,47,15
-68.307,-71.692,74,15,47
-69.799,-85.674,119,47,5
-71.881,-86.564,942,5,6
-83.371,-85.441,416,6,31
-73.122,-72.545,224,31,7
-66.971,-83.815,576,7,35
-76.503,-82.897,111,35,7
-70.971,-85.046,170,7,1
-81.674,-83.552,92,1,20
-72.172,-70.815,45,20,5
-81.971,-84.028,690,5,47
-71.195,-67.446,28,47,15
-69.369,-82.671,82,15,16
-69.046,-74.477,83,16,40
-76.777,-86.232,99,40,17
-75.75,-84.017,356,17,18
-71.901,-80.546,744,18,17
-80.666,-83.084,56,17,43
-68.965,-70.959,42,43,7
-66.164,-71.255,63,7,42
-67.372,-79.257,41,42,2
-75.413,-85.241,125,2,3
-82.891,-82.813,20,3,49
-72.606,-83.335,58,49,10
-79.033,-84.184,122,10,9
-81.204,-80.935,19,9,49
-75.73,-82.227,78,49,9
-82.768,-84.768,62,9,2
-69.651,-83.274,237,2,42
-81.403,-82.484,38,42,7
-75.932,-83.277,131,7,1
-79.588,-82.409,81,1,20
-72.777,-79.387,77,20,5
-81.783,-84.019,40,5,4
-71.619,-84.769,359,4,28
-81.113,-80.97,44,28,20
-69.053,-81.435,119,20,5
-81.68,-83.63,74,5,6
-77.933,-79.526,171,6,36
-77.423,-82.527,85,36,16
-68.4,-81.453,327,16,36
-69.331,-84.203,106,36,6
-83.559,-84.88,71,6,5
-72.517,-83.864,240,5,4
-77.35,-80.757,165,4,23
-75.812,-78.95,63,23,12
-75.155,-77.455,130,12,13
-80.135,-80.729,9,13,29
-71.94,-76.256,29,29,13
-73.711,-83.889,175,13,5
-72.204,-83.48,216,5,6
-78.783,-84.263,74,6,1
-82.445,-82.655,19,1,20
-68.829,-73.27,38,20,5
